Id,Carriers,Total_Number,Average_Departure_Delay,Average_Taxi_Out,Average_Departure_to_Take-off(scheduled),Average_Arrival_Delay,Average_Airborne_Time,Average_Taxi_In,Number_Cancelled,Percent_Cancelled,Number_Diverted,Percent_Diverted
25-c,WN,378,16.89,15.53,28.36,13.59,95.23,5.02,23,6.08,1,0.26
26-a,ALL*,443,4.22,15.65,16.61,-4.42,119.26,7.91,2,0.45,0,0.00
26-a,B6,119,5.29,15.57,20.86,-4.14,120.41,7.64,2,1.68,0,0.00
26-a,DL,311,3.54,15.70,14.62,-4.63,118.95,8.05,0,0.00,0,0.00
26-a,NK,13,10.76,15.23,26.00,-1.84,116.07,7.07,0,0.00,0,0.00
26-b,ALL*,748,21.97,16.41,22.85,11.62,117.92,8.42,6,0.80,0,0.00
26-b,B6,193,27.08,16.23,28.24,12.15,118.32,6.41,2,1.03,0,0.00
26-b,DL,450,21.69,16.83,19.28,13.86,117.84,9.55,1,0.22,0,0.00
26-b,NK,18,5.55,15.55,21.11,-5.16,115.22,7.05,0,0.00,0,0.00
26-b,UA,3,7.66,16.33,24.00,14.00,124.66,4.66,0,0.00,0,0.00
26-b,WN,84,15.62,14.69,30.32,1.60,117.76,7.28,3,3.57,0,0.00
26-c,ALL*,736,10.64,14.97,21.55,3.18,79.37,5.61,26,3.53,2,0.27
26-c,DL,413,8.27,15.77,20.55,1.04,79.54,5.71,0,0.00,1,0.24
26-c,NK,80,14.76,13.89,28.66,11.05,79.37,7.38,2,2.50,0,0.00
26-c,WN,243,13.64,13.84,20.91,4.43,79.03,4.78,24,9.87,1,0.41
27-a,ALL*,921,2.71,17.68,20.40,-7.83,67.27,6.79,15,1.62,3,0.32
27-a,AS,182,2.16,22.15,24.31,-2.28,67.06,7.55,4,2.19,0,0.00
27-a,OO,16,13.93,17.87,31.81,3.56,67.68,8.50,0,0.00,0,0.00
27-a,QX,44,1.72,17.25,18.97,-14.11,70.07,5.92,0,0.00,2,4.54
27-a,UA,360,2.13,18.26,20.40,-6.13,67.60,8.50,0,0.00,1,0.27
27-a,WN,319,3.27,14.46,17.74,-12.75,66.60,4.37,11,3.44,0,0.00
27-b,ALL*,686,12.78,22.56,29.03,4.05,151.50,6.13,2,0.29,0,0.00
27-b,B6,232,11.45,23.30,34.75,4.21,152.03,6.12,1,0.43,0,0.00
27-b,NK,107,13.68,17.92,31.61,5.59,149.87,9.16,1,0.93,0,0.00
27-b,UA,347,13.39,23.48,24.43,3.47,151.64,5.21,0,0.00,0,0.00
27-c,ALL*,575,23.57,26.48,39.69,27.11,359.56,9.52,11,1.91,4,0.69
27-c,AS,110,15.83,24.87,40.70,17.17,371.89,11.13,8,7.27,4,3.63
27-c,UA,465,25.27,26.83,39.46,29.21,356.94,9.16,3,0.64,0,0.00
28-a,ALL*,465,11.75,22.96,28.49,1.60,149.67,6.12,2,0.43,0,0.00
28-a,B6,154,10.34,23.78,34.13,2.15,150.21,6.13,1,0.64,0,0.00
28-a,NK,73,12.44,17.79,30.23,3.37,148.18,9.72,1,1.36,0,0.00
28-a,UA,238,12.44,24.00,24.34,0.70,149.78,5.02,0,0.00,0,0.00
28-b,ALL*,603,6.57,25.03,26.82,-7.06,345.94,9.06,1,0.16,1,0.16
28-b,AS,113,5.09,23.64,28.74,-16.79,357.88,7.18,0,0.00,1,0.88
28-b,UA,490,6.91,25.35,26.38,-4.83,343.20,9.50,1,0.20,0,0.00
28-c,ALL*,419,6.03,24.82,23.96,-7.75,346.01,8.75,1,0.23,1,0.23
28-c,AS,77,-5.05,23.03,17.98,-29.64,357.86,6.98,0,0.00,1,1.29
28-c,UA,342,8.53,25.22,25.31,-2.87,343.37,9.15,1,0.29,0,0.00
29-a,ALL*,928,22.18,20.66,38.04,23.77,72.07,8.31,30,3.23,2,0.21
29-a,AS,296,19.17,22.21,41.38,23.80,72.61,8.14,13,4.39,1,0.33
29-a,F9,21,49.47,20.23,69.71,49.23,73.57,10.57,0,0.00,0,0.00
29-a,OO,3,44.00,16.66,60.66,49.66,81.33,6.00,0,0.00,0,0.00
29-a,UA,364,17.69,22.87,40.57,19.43,71.62,8.20,2,0.54,0,0.00
29-a,WN,244,30.21,15.35,26.71,27.96,71.86,8.49,15,6.14,1,0.40
29-b,ALL*,731,17.98,23.74,27.73,12.34,150.85,6.27,11,1.50,3,0.41
29-b,B6,243,15.22,23.82,27.04,10.03,150.94,7.44,3,1.23,0,0.00
29-b,NK,102,8.29,20.14,13.88,1.68,147.52,8.45,3,2.94,0,0.00
29-b,UA,325,20.62,24.79,27.58,15.71,151.29,4.71,2,0.61,3,0.92
29-b,WN,61,31.29,23.72,55.01,21.43,153.68,6.34,3,4.91,0,0.00
29-c,ALL*,901,-1.62,13.41,11.79,-1.60,22.32,6.73,3,0.33,0,0.00
29-c,HA,781,-1.90,13.22,11.31,-1.50,22.27,7.04,1,0.12,0,0.00
29-c,WN,120,0.27,14.65,14.93,-2.28,22.71,4.68,2,1.66,0,0.00
30-a,ALL*,894,7.98,17.42,20.52,0.95,90.82,6.88,9,1.00,0,0.00
30-a,F9,175,6.96,20.25,18.98,4.51,91.62,12.93,0,0.00,0,0.00
30-a,NK,76,19.92,16.49,36.41,15.14,90.10,6.04,1,1.31,0,0.00
